0, 3
1, 15
2, 3
1, 11
2, 4
1, 7
2, 4
1, 6
2, 6
1, 3
0, 1
1, 4
2, 8
1, 5
2, 11
1, 4
2, 10
7, 2
2, 16
7, 3
2, 12
3, 3
2, 9
3, 4
2, 8
3, 5
2, 7
3, 7
2, 6
3, 8
2, 4
3, 6
0, 2
3, 6
2, 3
3, 21
0, 4
3, 14
4, 3
3, 9
4, 4
3, 8
4, 5
3, 6
4, 6
3, 6
4, 9
3, 5
4, 8
7, 2
4, 5
3, 3
4, 15
7, 2
4, 12
7, 2
4, 7
5, 4
4, 11
5, 5
4, 8
5, 6
4, 7
5, 9
4, 6
5, 11
4, 4
5, 10
0, 2
5, 16
0, 3
5, 13
6, 3
5, 9
6, 4
5, 8
6, 5
5, 6
6, 2
7, 1
6, 4
5, 6
6, 8
5, 4
6, 9
5, 4
6, 16
7, 4
6, 16
7, 1
6, 8
1, 4
6, 10
1, 5
6, 9
1, 6
6, 5
1, 6
6, 5
1, 8
6, 7
1, 26
0, 3
